CVE-1999-0199,CWE-252
CVE-2017-1000425,CWE-79
CVE-2017-1000443,CWE-79
CVE-2017-1000444,CWE-89
CVE-2017-1000457,CWE-79
CVE-2017-1000458,CWE-787
CVE-2017-1000487,CWE-78
CVE-2017-1000491,CWE-79
CVE-2017-1000492,CWE-79
CVE-2017-1000494,CWE-119
CVE-2017-1000501,CWE-22
CVE-2017-1001000,NVD-CWE-noinfo
CVE-2017-1001002,CWE-94
CVE-2017-1001003,CWE-20
CVE-2017-1001004,CWE-20
CVE-2017-1002150,CWE-601
CVE-2017-1002201,CWE-79
CVE-2017-10661,CWE-416
CVE-2017-10662,NVD-CWE-noinfo
CVE-2017-10663,CWE-129
CVE-2017-10671,CWE-787
CVE-2017-10678,CWE-352
CVE-2017-10680,CWE-352
CVE-2017-10681,CWE-352
CVE-2017-10682,CWE-89
CVE-2017-10807,CWE-287
CVE-2017-10810,CWE-772
CVE-2017-10910,CWE-674
CVE-2017-10911,CWE-200
CVE-2017-10929,CWE-119
CVE-2017-10965,CWE-476
CVE-2017-10966,CWE-416
CVE-2017-11142,CWE-400
CVE-2017-11171,CWE-835
CVE-2017-11173,NVD-CWE-noinfo
CVE-2017-11176,CWE-416
CVE-2017-11310,CWE-772
CVE-2017-11328,CWE-119
CVE-2017-11365,CWE-284
CVE-2017-11368,CWE-617
CVE-2017-11399,CWE-125
CVE-2017-11421,CWE-94
CVE-2017-11447,CWE-772
CVE-2017-11448,CWE-200
CVE-2017-11462,CWE-415
CVE-2017-11464,CWE-369
CVE-2017-11472,CWE-755
CVE-2017-11522,CWE-476
CVE-2017-11523,CWE-835
CVE-2017-11593,CWE-79
CVE-2017-11594,CWE-79
CVE-2017-11664,CWE-125
CVE-2017-11665,CWE-20
CVE-2017-11667,CWE-613
CVE-2017-11691,CWE-79
CVE-2017-11719,CWE-125
CVE-2017-11721,CWE-119
CVE-2017-12061,CWE-79
CVE-2017-12062,CWE-79
CVE-2017-12064,CWE-116
CVE-2017-12065,NVD-CWE-noinfo
CVE-2017-12066,CWE-79
CVE-2017-12146,CWE-362
CVE-2017-12154,NVD-CWE-noinfo
CVE-2017-12168,CWE-617
CVE-2017-12190,CWE-400
CVE-2017-12192,CWE-476
CVE-2017-12193,CWE-476
CVE-2017-12424,CWE-119
CVE-2017-12427,CWE-772
CVE-2017-12474,CWE-476
CVE-2017-12475,CWE-476
CVE-2017-12476,CWE-476
CVE-2017-12588,CWE-134
CVE-2017-12595,CWE-20
CVE-2017-12640,CWE-125
CVE-2017-12641,CWE-772
CVE-2017-12643,CWE-770
CVE-2017-12644,CWE-772
CVE-2017-12662,CWE-772
CVE-2017-12663,CWE-772
CVE-2017-12664,CWE-772
CVE-2017-12665,CWE-772
CVE-2017-12666,CWE-772
CVE-2017-12667,CWE-772
CVE-2017-12668,CWE-772
CVE-2017-12669,CWE-772
CVE-2017-12678,CWE-434
CVE-2017-12775,CWE-20
CVE-2017-12795,CWE-20
CVE-2017-12847,CWE-665
CVE-2017-12850,CWE-640
CVE-2017-12851,CWE-640
CVE-2017-12858,CWE-415
CVE-2017-12868,CWE-384
CVE-2017-12871,CWE-326
CVE-2017-12876,CWE-787
CVE-2017-12877,CWE-416
CVE-2017-12893,CWE-125
CVE-2017-12894,CWE-125
CVE-2017-12895,CWE-125
CVE-2017-12896,CWE-125
CVE-2017-12897,CWE-125
CVE-2017-12898,CWE-125
CVE-2017-12899,CWE-125
CVE-2017-12900,CWE-125
CVE-2017-12901,CWE-125
CVE-2017-12902,CWE-125
CVE-2017-12904,CWE-943
CVE-2017-12927,CWE-79
CVE-2017-12932,CWE-416
CVE-2017-12972,CWE-345
CVE-2017-12973,CWE-354
CVE-2017-12974,CWE-347
CVE-2017-12978,CWE-79
CVE-2017-12982,CWE-119
CVE-2017-12985,CWE-125
CVE-2017-12986,CWE-125
CVE-2017-12987,CWE-125
CVE-2017-12988,CWE-125
CVE-2017-12989,CWE-835
CVE-2017-12990,CWE-835
CVE-2017-12991,CWE-125
CVE-2017-12992,CWE-125
CVE-2017-12993,CWE-125
CVE-2017-12994,CWE-125
CVE-2017-12995,CWE-835
CVE-2017-12996,CWE-125
CVE-2017-12997,CWE-835
CVE-2017-12998,CWE-125
CVE-2017-12999,CWE-125
CVE-2017-13000,CWE-125
CVE-2017-13001,CWE-125
CVE-2017-13002,CWE-125
CVE-2017-13003,CWE-125
CVE-2017-13004,CWE-125
CVE-2017-13005,CWE-125
CVE-2017-13006,CWE-125
CVE-2017-13007,CWE-125
CVE-2017-13008,CWE-125
CVE-2017-13009,CWE-125
CVE-2017-13010,CWE-125
CVE-2017-13011,CWE-119
CVE-2017-13012,CWE-125
CVE-2017-13013,CWE-125
CVE-2017-13014,CWE-125
CVE-2017-13015,CWE-125
CVE-2017-13016,CWE-125
CVE-2017-13017,CWE-125
CVE-2017-13018,CWE-125
CVE-2017-13019,CWE-125
CVE-2017-13020,CWE-125
CVE-2017-13021,CWE-125
CVE-2017-13022,CWE-125
CVE-2017-13023,CWE-125
CVE-2017-13024,CWE-125
CVE-2017-13025,CWE-125
CVE-2017-13026,CWE-125
CVE-2017-13027,CWE-125
CVE-2017-13028,CWE-125
CVE-2017-13029,CWE-125
CVE-2017-13030,CWE-125
CVE-2017-13031,CWE-125
CVE-2017-13032,CWE-125
CVE-2017-13033,CWE-125
CVE-2017-13034,CWE-125
CVE-2017-13035,CWE-125
CVE-2017-13036,CWE-125
CVE-2017-13037,CWE-125
CVE-2017-13038,CWE-125
CVE-2017-13039,CWE-125
CVE-2017-13040,CWE-125
CVE-2017-13041,CWE-125
CVE-2017-13042,CWE-125
CVE-2017-13043,CWE-125
CVE-2017-13044,CWE-125
CVE-2017-13045,CWE-125
CVE-2017-13046,CWE-125
CVE-2017-13047,CWE-125
CVE-2017-13048,CWE-125
CVE-2017-13049,CWE-125
CVE-2017-13050,CWE-125
CVE-2017-13051,CWE-125
CVE-2017-13052,CWE-125
CVE-2017-13053,CWE-125
CVE-2017-13054,CWE-125
CVE-2017-13055,CWE-125
CVE-2017-13083,CWE-494
CVE-2017-13139,CWE-125
CVE-2017-13143,CWE-200
CVE-2017-13145,CWE-20
CVE-2017-13146,CWE-772
CVE-2017-13671,CWE-79
CVE-2017-13686,CWE-476
CVE-2017-13687,CWE-125
CVE-2017-13688,CWE-125
CVE-2017-13689,CWE-125
CVE-2017-13690,CWE-125
CVE-2017-13715,CWE-665
CVE-2017-13725,CWE-125
CVE-2017-14032,CWE-287
CVE-2017-14039,CWE-787
CVE-2017-14040,CWE-787
CVE-2017-14041,CWE-787
CVE-2017-14054,CWE-834
CVE-2017-14055,CWE-834
CVE-2017-14056,CWE-834
CVE-2017-14057,CWE-834
CVE-2017-14058,CWE-835
CVE-2017-14059,CWE-834
CVE-2017-14061,CWE-190
CVE-2017-14062,CWE-190
CVE-2017-14064,CWE-119
CVE-2017-14106,CWE-369
CVE-2017-14107,CWE-770
CVE-2017-14140,CWE-200
CVE-2017-14141,CWE-502
CVE-2017-14143,CWE-798
CVE-2017-14151,CWE-119
CVE-2017-14152,CWE-787
CVE-2017-14164,CWE-119
CVE-2017-14164,CWE-787
CVE-2017-14166,CWE-125
CVE-2017-14169,CWE-20
CVE-2017-14170,CWE-834
CVE-2017-14171,CWE-834
CVE-2017-14172,CWE-834
CVE-2017-14173,CWE-190
CVE-2017-14173,CWE-835
CVE-2017-14174,CWE-834
CVE-2017-14175,CWE-834
CVE-2017-14222,CWE-834
CVE-2017-14223,CWE-400
CVE-2017-14225,CWE-476
CVE-2017-14238,CWE-89
CVE-2017-14239,CWE-79
CVE-2017-14240,CWE-200
CVE-2017-14241,CWE-79
CVE-2017-14242,CWE-89
CVE-2017-14313,CWE-79
CVE-2017-14337,CWE-287
CVE-2017-14340,CWE-476
CVE-2017-14341,CWE-400
CVE-2017-14497,CWE-119
CVE-2017-14498,CWE-79
CVE-2017-14500,CWE-78
CVE-2017-14502,CWE-125
CVE-2017-14502,CWE-193
CVE-2017-14604,CWE-20
CVE-2017-14619,CWE-79
CVE-2017-14623,CWE-287
CVE-2017-14638,CWE-476
CVE-2017-14639,CWE-843
CVE-2017-14640,CWE-476
CVE-2017-14641,CWE-476
CVE-2017-14642,CWE-476
CVE-2017-14643,CWE-125
CVE-2017-14646,CWE-125
CVE-2017-14650,CWE-20
CVE-2017-14695,CWE-22
CVE-2017-14696,CWE-20
CVE-2017-14723,CWE-89
CVE-2017-14767,CWE-119
CVE-2017-14920,CWE-79
CVE-2017-14921,CWE-79
CVE-2017-14922,CWE-79
CVE-2017-14923,CWE-79
CVE-2017-14954,CWE-200
CVE-2017-14981,CWE-79
CVE-2017-14991,CWE-200
CVE-2017-15032,CWE-772
CVE-2017-15033,CWE-772
CVE-2017-15051,CWE-79
CVE-2017-15052,CWE-269
CVE-2017-15053,CWE-269
CVE-2017-15054,CWE-434
CVE-2017-15055,CWE-269
CVE-2017-15088,CWE-119
CVE-2017-15102,CWE-476
CVE-2017-15111,CWE-59
CVE-2017-15112,CWE-200
CVE-2017-15115,CWE-416
CVE-2017-15116,CWE-476
CVE-2017-15126,CWE-119
CVE-2017-15127,CWE-460
CVE-2017-15128,CWE-119
CVE-2017-15129,CWE-362
CVE-2017-15132,CWE-772
CVE-2017-15194,CWE-79
CVE-2017-15195,CWE-639
CVE-2017-15196,CWE-639
CVE-2017-15197,CWE-639
CVE-2017-15198,CWE-200
CVE-2017-15199,CWE-639
CVE-2017-15200,CWE-639
CVE-2017-15201,CWE-639
CVE-2017-15202,CWE-639
CVE-2017-15203,CWE-639
CVE-2017-15204,CWE-639
CVE-2017-15205,CWE-200
CVE-2017-15206,CWE-639
CVE-2017-15207,CWE-639
CVE-2017-15208,CWE-639
CVE-2017-15209,CWE-639
CVE-2017-15210,CWE-200
CVE-2017-15211,CWE-639
CVE-2017-15212,CWE-200
CVE-2017-15213,CWE-79
CVE-2017-15214,CWE-79
CVE-2017-15216,CWE-79
CVE-2017-15265,CWE-362
CVE-2017-15265,CWE-416
CVE-2017-15274,CWE-476
CVE-2017-15277,CWE-200
CVE-2017-15278,CWE-79
CVE-2017-15279,CWE-79
CVE-2017-15280,CWE-611
CVE-2017-15284,CWE-79
CVE-2017-15306,CWE-476
CVE-2017-15365,NVD-CWE-noinfo
CVE-2017-15367,CWE-89
CVE-2017-15368,CWE-125
CVE-2017-15377,NVD-CWE-noinfo
CVE-2017-15385,CWE-119
CVE-2017-15537,CWE-200
CVE-2017-15538,CWE-79
CVE-2017-15568,CWE-79
CVE-2017-15569,CWE-79
CVE-2017-15570,CWE-79
CVE-2017-15571,CWE-79
CVE-2017-15644,CWE-918
CVE-2017-15645,CWE-352
CVE-2017-15646,CWE-79
CVE-2017-15649,CWE-362
CVE-2017-15727,CWE-79
CVE-2017-15728,CWE-79
CVE-2017-15729,CWE-352
CVE-2017-15730,CWE-352
CVE-2017-15731,CWE-352
CVE-2017-15732,CWE-352
CVE-2017-15733,CWE-352
CVE-2017-15734,CWE-352
CVE-2017-15735,CWE-352
CVE-2017-15808,CWE-352
CVE-2017-15809,CWE-79
CVE-2017-15868,CWE-20
CVE-2017-15872,CWE-79
CVE-2017-15906,CWE-732
CVE-2017-15924,CWE-78
CVE-2017-15931,CWE-125
CVE-2017-15932,CWE-125
CVE-2017-15951,CWE-20
CVE-2017-16003,CWE-311
CVE-2017-16015,CWE-79
CVE-2017-16016,CWE-79
CVE-2017-16025,CWE-287
CVE-2017-16031,CWE-330
CVE-2017-16244,CWE-352
CVE-2017-16355,CWE-200
CVE-2017-16357,CWE-119
CVE-2017-16358,CWE-125
CVE-2017-16359,CWE-476
CVE-2017-16510,CWE-89
CVE-2017-16525,CWE-416
CVE-2017-16526,CWE-119
CVE-2017-16527,CWE-416
CVE-2017-16528,CWE-416
CVE-2017-16529,CWE-125
CVE-2017-16530,CWE-125
CVE-2017-16531,CWE-119
CVE-2017-16532,CWE-476
CVE-2017-16533,CWE-125
CVE-2017-16534,CWE-119
CVE-2017-16535,CWE-125
CVE-2017-16546,CWE-119
CVE-2017-16613,CWE-287
CVE-2017-16615,NVD-CWE-noinfo
CVE-2017-16618,NVD-CWE-noinfo
CVE-2017-16642,CWE-125
CVE-2017-16643,CWE-125
CVE-2017-16645,CWE-125
CVE-2017-16754,CWE-732
CVE-2017-16759,CWE-22
CVE-2017-16763,NVD-CWE-noinfo
CVE-2017-16792,CWE-79
CVE-2017-16802,CWE-79
CVE-2017-16803,CWE-119
CVE-2017-16804,CWE-200
CVE-2017-16805,CWE-125
CVE-2017-16806,CWE-22
CVE-2017-16818,CWE-617
CVE-2017-16820,CWE-415
CVE-2017-16833,CWE-79
CVE-2017-16876,CWE-79
CVE-2017-16877,CWE-22
CVE-2017-16880,CWE-79
CVE-2017-16907,CWE-79
CVE-2017-16909,CWE-119
CVE-2017-16910,CWE-125
CVE-2017-16931,CWE-119
CVE-2017-16932,CWE-835
CVE-2017-16939,CWE-416
CVE-2017-16946,CWE-532
CVE-2017-16994,CWE-200
CVE-2017-16995,CWE-119
CVE-2017-16996,CWE-119
CVE-2017-17042,CWE-22
CVE-2017-17052,CWE-416
CVE-2017-17053,CWE-416
CVE-2017-17081,CWE-125
CVE-2017-17087,CWE-668
CVE-2017-17089,CWE-79
CVE-2017-17091,CWE-330
CVE-2017-17092,CWE-79
CVE-2017-17093,CWE-79
CVE-2017-17094,CWE-79
CVE-2017-17439,CWE-476
CVE-2017-17476,CWE-200
CVE-2017-17499,CWE-416
CVE-2017-17712,CWE-362
CVE-2017-17713,CWE-89
CVE-2017-17714,CWE-79
CVE-2017-17805,CWE-20
CVE-2017-17806,CWE-787
CVE-2017-17807,CWE-862
CVE-2017-17852,CWE-119
CVE-2017-17853,CWE-119
CVE-2017-17854,CWE-190
CVE-2017-17855,CWE-119
CVE-2017-17856,CWE-119
CVE-2017-17857,CWE-119
CVE-2017-17862,CWE-20
CVE-2017-17897,CWE-89
CVE-2017-17898,CWE-200
CVE-2017-17899,CWE-89
CVE-2017-17900,CWE-89
CVE-2017-18013,CWE-476
CVE-2017-18016,CWE-346
CVE-2017-18017,CWE-416
CVE-2017-18026,NVD-CWE-noinfo
CVE-2017-18075,CWE-763
CVE-2017-18079,CWE-476
CVE-2017-18120,CWE-415
CVE-2017-18123,CWE-20
CVE-2017-18174,CWE-415
CVE-2017-18183,CWE-835
CVE-2017-18184,CWE-125
CVE-2017-18185,CWE-125
CVE-2017-18186,CWE-835
CVE-2017-18187,CWE-190
CVE-2017-18190,CWE-290
CVE-2017-18193,CWE-119
CVE-2017-18200,CWE-20
CVE-2017-18202,CWE-416
CVE-2017-18203,CWE-362
CVE-2017-18204,NVD-CWE-noinfo
CVE-2017-18208,CWE-835
CVE-2017-18216,CWE-476
CVE-2017-18218,CWE-416
CVE-2017-18221,CWE-20
CVE-2017-18222,CWE-119
CVE-2017-18224,CWE-362
CVE-2017-18232,NVD-CWE-noinfo
CVE-2017-18239,NVD-CWE-noinfo
CVE-2017-18241,CWE-476
CVE-2017-18248,CWE-20
CVE-2017-18249,CWE-362
CVE-2017-18255,CWE-190
CVE-2017-18257,CWE-190
CVE-2017-18261,CWE-835
CVE-2017-18270,NVD-CWE-noinfo
CVE-2017-18344,CWE-125
CVE-2017-18352,CWE-79
CVE-2017-18353,NVD-CWE-noinfo
CVE-2017-18354,CWE-22
CVE-2017-18355,CWE-200
CVE-2017-18358,CWE-79
CVE-2017-18360,CWE-369
CVE-2017-18367,CWE-20
CVE-2017-18379,CWE-119
CVE-2017-18509,CWE-20
CVE-2017-18594,CWE-415
CVE-2017-18635,CWE-79
CVE-2017-18922,CWE-787
CVE-2017-20005,CWE-190
CVE-2017-20006,CWE-787
CVE-2017-20146,CWE-346
CVE-2017-20150,CWE-89
CVE-2017-20151,CWE-611
CVE-2017-20152,CWE-22
CVE-2017-20153,CWE-79
CVE-2017-20154,CWE-404
CVE-2017-20155,CWE-79
CVE-2017-20156,CWE-77
CVE-2017-20157,CWE-918
CVE-2017-20158,CWE-79
CVE-2017-20159,CWE-79
CVE-2017-20160,NVD-CWE-Other
CVE-2017-20161,CWE-74
CVE-2017-20162,CWE-1333
CVE-2017-20163,CWE-89
CVE-2017-20164,CWE-601
CVE-2017-20165,CWE-1333
CVE-2017-20166,NVD-CWE-Other
CVE-2017-20168,CWE-89
CVE-2017-20169,CWE-89
CVE-2017-20170,CWE-89
CVE-2017-20171,CWE-89
CVE-2017-20172,CWE-89
CVE-2017-20173,CWE-89
CVE-2017-20174,CWE-74
CVE-2017-20175,CWE-79
CVE-2017-20176,CWE-79
CVE-2017-20177,CWE-79
CVE-2017-20178,NVD-CWE-noinfo
CVE-2017-20179,NVD-CWE-noinfo
CVE-2017-20180,CWE-345
CVE-2017-20181,CWE-22
CVE-2017-20182,CWE-79
CVE-2017-20183,CWE-79
CVE-2017-20185,CWE-79
CVE-2017-20186,CWE-404
CVE-2017-20187,CWE-74
CVE-2017-20188,CWE-79
CVE-2017-20189,CWE-502
CVE-2017-20191,CWE-79
CVE-2017-2106,CWE-79
CVE-2017-2298,CWE-20
CVE-2017-2583,NVD-CWE-noinfo
CVE-2017-2584,CWE-200
CVE-2017-2584,CWE-416
CVE-2017-2598,CWE-326
CVE-2017-2599,CWE-863
CVE-2017-2600,CWE-200
CVE-2017-2601,CWE-79
CVE-2017-2602,NVD-CWE-noinfo
CVE-2017-2603,CWE-200
CVE-2017-2604,CWE-287
CVE-2017-2606,CWE-200
CVE-2017-2608,CWE-502
CVE-2017-2609,CWE-200
CVE-2017-2610,CWE-79
CVE-2017-2611,CWE-863
CVE-2017-2612,CWE-732
CVE-2017-2613,CWE-352
CVE-2017-2616,CWE-362
CVE-2017-2630,CWE-121
CVE-2017-2647,CWE-476
CVE-2017-2661,CWE-79
CVE-2017-2669,CWE-20
CVE-2017-2671,NVD-CWE-noinfo
CVE-2017-2809,CWE-94
CVE-2017-2920,CWE-119
CVE-2017-3204,NVD-CWE-noinfo
CVE-2017-4952,CWE-732
CVE-2017-5188,CWE-200
CVE-2017-5188,CWE-59
CVE-2017-5207,CWE-269
CVE-2017-5209,CWE-125
CVE-2017-5225,CWE-119
CVE-2017-5226,CWE-20
CVE-2017-5334,CWE-415
CVE-2017-5335,CWE-125
CVE-2017-5336,CWE-119
CVE-2017-5337,CWE-119
CVE-2017-5340,CWE-190
CVE-2017-5345,CWE-89
CVE-2017-5473,CWE-352
CVE-2017-5474,CWE-601
CVE-2017-5480,CWE-22
CVE-2017-5487,CWE-200
CVE-2017-5488,CWE-79
CVE-2017-5490,CWE-79
CVE-2017-5491,CWE-1188
CVE-2017-5492,CWE-352
CVE-2017-5493,CWE-338
CVE-2017-5494,CWE-79
CVE-2017-5506,CWE-415
CVE-2017-5507,CWE-772
CVE-2017-5509,CWE-787
CVE-2017-5510,CWE-787
CVE-2017-5511,CWE-119
CVE-2017-5522,CWE-119
CVE-2017-5537,CWE-200
CVE-2017-5539,CWE-22
CVE-2017-5545,CWE-125
CVE-2017-5546,NVD-CWE-noinfo
CVE-2017-5547,CWE-119
CVE-2017-5548,CWE-119
CVE-2017-5549,CWE-532
CVE-2017-5550,CWE-200
CVE-2017-5551,NVD-CWE-noinfo
CVE-2017-5553,CWE-79
CVE-2017-5576,CWE-190
CVE-2017-5577,CWE-388
CVE-2017-5581,CWE-119
CVE-2017-5589,CWE-20
CVE-2017-5589,CWE-346
CVE-2017-5590,CWE-20
CVE-2017-5590,CWE-346
CVE-2017-5591,CWE-20
CVE-2017-5591,CWE-346
CVE-2017-5592,CWE-20
CVE-2017-5592,CWE-346
CVE-2017-5594,CWE-640
CVE-2017-5601,CWE-125
CVE-2017-5602,CWE-20
CVE-2017-5602,CWE-346
CVE-2017-5603,CWE-20
CVE-2017-5603,CWE-346
CVE-2017-5608,CWE-79
CVE-2017-5609,CWE-89
CVE-2017-5610,CWE-200
CVE-2017-5611,CWE-89
CVE-2017-5612,CWE-79
CVE-2017-5668,CWE-476
CVE-2017-5669,NVD-CWE-noinfo
CVE-2017-5847,CWE-125
CVE-2017-5850,CWE-770
CVE-2017-5887,CWE-295
CVE-2017-5923,CWE-125
CVE-2017-5924,CWE-416
CVE-2017-5934,CWE-79
CVE-2017-5936,NVD-CWE-noinfo
CVE-2017-5953,CWE-190
CVE-2017-5970,CWE-476
CVE-2017-5985,CWE-862
CVE-2017-5986,CWE-362
CVE-2017-5986,CWE-617
CVE-2017-5999,CWE-326
CVE-2017-6001,CWE-362
CVE-2017-6059,CWE-20
CVE-2017-6074,CWE-415
CVE-2017-6087,CWE-78
CVE-2017-6194,CWE-119
CVE-2017-6197,CWE-476
CVE-2017-6199,CWE-287
CVE-2017-6200,CWE-200
CVE-2017-6201,CWE-918
CVE-2017-6214,CWE-835
CVE-2017-6307,CWE-787
CVE-2017-6308,CWE-190
CVE-2017-6309,CWE-125
CVE-2017-6309,CWE-787
CVE-2017-6310,CWE-125
CVE-2017-6310,CWE-787
CVE-2017-6319,CWE-119
CVE-2017-6345,CWE-20
CVE-2017-6346,CWE-362
CVE-2017-6346,CWE-416
CVE-2017-6347,CWE-125
CVE-2017-6348,NVD-CWE-noinfo
CVE-2017-6349,CWE-190
CVE-2017-6350,CWE-190
CVE-2017-6353,CWE-415
CVE-2017-6387,CWE-125
CVE-2017-6390,CWE-79
CVE-2017-6391,CWE-79
CVE-2017-6392,CWE-79
CVE-2017-6413,CWE-287
CVE-2017-6415,CWE-476
CVE-2017-6418,CWE-125
CVE-2017-6419,CWE-119
CVE-2017-6420,CWE-416
CVE-2017-6429,CWE-119
CVE-2017-6430,CWE-125
CVE-2017-6435,CWE-119
CVE-2017-6436,CWE-119
CVE-2017-6436,CWE-20
CVE-2017-6439,CWE-787
CVE-2017-6448,CWE-119
CVE-2017-6503,CWE-79
CVE-2017-6504,CWE-20
CVE-2017-6511,CWE-79
CVE-2017-6594,CWE-295
CVE-2017-6797,CWE-79
CVE-2017-6799,CWE-79
CVE-2017-6800,CWE-125
CVE-2017-6801,CWE-125
CVE-2017-6802,CWE-125
CVE-2017-6814,CWE-79
CVE-2017-6815,CWE-20
CVE-2017-6816,CWE-863
CVE-2017-6817,CWE-79
CVE-2017-6818,CWE-79
CVE-2017-6819,CWE-352
CVE-2017-6837,CWE-20
CVE-2017-6838,CWE-190
CVE-2017-6839,CWE-190
CVE-2017-6850,CWE-476
CVE-2017-6874,CWE-362
CVE-2017-6874,CWE-416
CVE-2017-6886,CWE-119
CVE-2017-6887,CWE-119
CVE-2017-6889,CWE-190
CVE-2017-6890,CWE-119
CVE-2017-6892,CWE-119
CVE-2017-6903,NVD-CWE-noinfo
CVE-2017-6905,CWE-79
CVE-2017-6908,CWE-79
CVE-2017-6954,CWE-269
CVE-2017-7177,CWE-358
CVE-2017-7184,NVD-CWE-noinfo
CVE-2017-7185,CWE-416
CVE-2017-7189,CWE-20
CVE-2017-7191,CWE-416
CVE-2017-7192,CWE-295
CVE-2017-7215,CWE-79
CVE-2017-7222,CWE-79
CVE-2017-7239,CWE-74
CVE-2017-7266,CWE-601
CVE-2017-7271,CWE-79
CVE-2017-7272,CWE-918
CVE-2017-7273,NVD-CWE-Other
CVE-2017-7274,CWE-476
CVE-2017-7277,CWE-125
CVE-2017-7374,CWE-416
CVE-2017-7374,CWE-476
CVE-2017-7407,CWE-119
CVE-2017-7412,NVD-CWE-noinfo
CVE-2017-7418,CWE-59
CVE-2017-7448,CWE-369
CVE-2017-7458,CWE-476
CVE-2017-7472,CWE-404
CVE-2017-7481,CWE-20
CVE-2017-7487,CWE-416
CVE-2017-7495,CWE-200
CVE-2017-7500,CWE-59
CVE-2017-7501,CWE-59
CVE-2017-7524,CWE-522
CVE-2017-7533,CWE-362
CVE-2017-7541,CWE-119
CVE-2017-7542,CWE-190
CVE-2017-7545,CWE-611
CVE-2017-7566,CWE-918
CVE-2017-7572,CWE-362
CVE-2017-7579,CWE-79
CVE-2017-7585,CWE-119
CVE-2017-7586,CWE-119
CVE-2017-7616,CWE-388
CVE-2017-7645,CWE-20
CVE-2017-7695,CWE-434
CVE-2017-7741,CWE-119
CVE-2017-7742,CWE-119
CVE-2017-7854,CWE-125
CVE-2017-7856,CWE-787
CVE-2017-7862,CWE-787
CVE-2017-7863,CWE-787
CVE-2017-7865,CWE-787
CVE-2017-7866,CWE-787
CVE-2017-7869,CWE-787
CVE-2017-7870,CWE-787
CVE-2017-7871,CWE-79
CVE-2017-7875,CWE-787
CVE-2017-7882,CWE-787
CVE-2017-7889,CWE-732
CVE-2017-7895,CWE-119
CVE-2017-7897,CWE-79
CVE-2017-7946,CWE-416
CVE-2017-7962,CWE-369
CVE-2017-7991,CWE-89
CVE-2017-8061,CWE-119
CVE-2017-8062,CWE-119
CVE-2017-8063,CWE-119
CVE-2017-8064,CWE-119
CVE-2017-8065,CWE-119
CVE-2017-8066,CWE-119
CVE-2017-8067,CWE-787
CVE-2017-8068,CWE-119
CVE-2017-8069,CWE-119
CVE-2017-8070,CWE-119
CVE-2017-8071,CWE-404
CVE-2017-8072,CWE-388
CVE-2017-8073,CWE-119
CVE-2017-8085,CWE-79
CVE-2017-8098,CWE-352
CVE-2017-8284,CWE-94
CVE-2017-8288,CWE-20
CVE-2017-8294,CWE-125
CVE-2017-8297,CWE-22
CVE-2017-8325,CWE-119
CVE-2017-8326,CWE-682
CVE-2017-8327,CWE-400
CVE-2017-8342,CWE-362
CVE-2017-8358,CWE-119
CVE-2017-8358,CWE-787
CVE-2017-8797,CWE-129
CVE-2017-8807,CWE-119
CVE-2017-8825,CWE-476
CVE-2017-8831,CWE-125
CVE-2017-8832,CWE-79
CVE-2017-8876,CWE-79
CVE-2017-8890,CWE-415
CVE-2017-8891,CWE-1187
CVE-2017-8920,CWE-79
CVE-2017-8924,CWE-191
CVE-2017-8925,CWE-404
CVE-2017-8929,CWE-416
CVE-2017-8932,CWE-682
CVE-2017-9051,CWE-476
CVE-2017-9059,CWE-404
CVE-2017-9061,CWE-79
CVE-2017-9062,CWE-352
CVE-2017-9062,CWE-601
CVE-2017-9062,CWE-79
CVE-2017-9063,CWE-79
CVE-2017-9064,CWE-352
CVE-2017-9065,CWE-20
CVE-2017-9066,CWE-918
CVE-2017-9074,CWE-125
CVE-2017-9075,NVD-CWE-noinfo
CVE-2017-9076,NVD-CWE-noinfo
CVE-2017-9077,NVD-CWE-noinfo
CVE-2017-9098,CWE-908
CVE-2017-9141,CWE-20
CVE-2017-9141,CWE-617
CVE-2017-9142,CWE-20
CVE-2017-9142,CWE-617
CVE-2017-9143,CWE-772
CVE-2017-9144,CWE-20
CVE-2017-9150,CWE-200
CVE-2017-9201,CWE-369
CVE-2017-9202,CWE-369
CVE-2017-9203,CWE-787
CVE-2017-9204,CWE-125
CVE-2017-9205,CWE-125
CVE-2017-9206,CWE-125
CVE-2017-9207,CWE-125
CVE-2017-9211,CWE-476
CVE-2017-9217,CWE-476
CVE-2017-9224,CWE-125
CVE-2017-9225,CWE-787
CVE-2017-9226,CWE-787
CVE-2017-9227,CWE-125
CVE-2017-9228,CWE-787
CVE-2017-9229,CWE-476
CVE-2017-9242,CWE-20
CVE-2017-9250,CWE-476
CVE-2017-9305,CWE-79
CVE-2017-9313,CWE-79
CVE-2017-9364,CWE-434
CVE-2017-9365,CWE-352
CVE-2017-9378,CWE-863
CVE-2017-9432,CWE-787
CVE-2017-9434,CWE-125
CVE-2017-9435,CWE-89
CVE-2017-9438,CWE-674
CVE-2017-9451,CWE-79
CVE-2017-9454,CWE-125
CVE-2017-9465,CWE-125
CVE-2017-9499,CWE-617
CVE-2017-9520,CWE-416
CVE-2017-9527,CWE-416
CVE-2017-9605,CWE-200
CVE-2017-9608,CWE-476
CVE-2017-9732,CWE-400
CVE-2017-9761,CWE-119
CVE-2017-9763,CWE-119
